kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_impact,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_teq,koi_insol,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smet,koi_sage,koi_snr,koi_fittype,ra,dec,koi_kepmag
7350524,K01792.01,Unknown,FALSE POSITIVE,0.313,1,1,0,0,21.19573,0.0148747,-0.0171483,441.47829,,8.4646,0.42323,-0.42323,9698.62,775.89,-775.89,3.945,0.3426,-0.6561,,,,4618.4,79.9,-204.4,4.8203,,,0.9427,0.04714,-0.04714,0.9643,,11.918,6.17,ls+mcmc,286.097923,47.48215,14.88
9311194,K01893.01,nan,Candidate,0.338,0,0,0,0,31.55373,0.030258,-0.0009271,303.11091,0.46,7.7943,0.38972,-0.38972,3763.9,301.11,,8.608,0.7157,-1.4972,0.20573,,212.678,7027.6,223.1,-72.3,4.636,0.0374,-0.0613,1.0805,0.05403,-0.05403,,0.1294,9.81,16.57,LS+MCMC,284.626082,51.431093,12.629
6070853,K00027.01,Kepler-27 b,CONFIRM,0.949,0,0,0,0,3.91087,0.0020635,-0.0030662,268.49189,,6.2079,0.31039,-0.31039,541.63,43.33,-43.33,,0.5144,-0.2682,0.05034,,1.128,5789.3,151.3,,4.3157,0.0462,-0.1139,0.8095,0.04047,-0.04047,0.821,,10.519,23.83,LS+MCMC,303.320227,44.323887,N/A
6205970,K01581.01,Kepler-1581 b,CONFIRMED,0.847,0,0,0,0,1.93862,0.0016129,-0.0010433,197.16387,0.362,14.6857,0.73428,-0.73428,,32.44,-32.44,1.381,0.1369,-0.1658,0.02639,312.4,1.419,6215.0,174.9,-87.0,4.7057,0.0542,-0.1481,1.0834,,,1.0893,-0.0565,1.76,40.02,mcmc,283.232941,43.601382,13.668
5792726,K00652.01,Unknown,FALSE POSITIVE,0.057,1,1,1,0,5.22789,0.0019171,-0.0012339,482.1884,0.926,1.9085,0.09543,-0.09543,520.13,41.61,-41.61,5.443,0.418,-0.5772,0.06354,2244.2,2.758,5098.1,200.4,-118.2,4.1607,0.0993,-0.0401,1.0106,,-0.05053,,0.0205,7.447,15.25,MCMC,286.076191,46.45406,14.586
7787792,K01603.01,Kepler-1603 b,CONFIRMED,0.845,0,0,0,0,2.17277,0.0003792,-0.0016493,264.36082,0.404,10.8357,0.54179,-0.54179,2040.54,163.24,-163.24,2.049,0.1863,-0.1081,0.03351,387.0,,5699.3,103.1,-121.0,4.2592,0.1369,-0.0483,0.8474,0.04237,-0.04237,0.776,0.2695,10.496,52.86,Unknown,303.088787,41.271985,13.98
8318611,K01850.01,,FALSE POSITIVE,0.006,1,0,0,1,56.27107,,-0.0006321,440.57402,0.32,10.8917,0.54459,-0.54459,274.71,21.98,-21.98,13.249,,-1.1539,0.31841,1247.3,3.726,5521.0,158.6,-131.1,4.7113,0.0748,-0.109,0.7244,0.03622,,0.7009,-0.0781,7.756,36.83,LS+MCMC,294.51177,44.721028,10.228
8088854,K01212.01,nan,FALSE_POSITIVE,0.105,0,0,1,1,3.89539,0.0030573,-0.0021189,145.85912,0.622,6.9701,0.3485,-0.3485,5529.16,442.33,-442.33,,0.2771,-0.4963,,391.9,4.088,5591.0,222.3,-298.2,4.8021,0.0869,-0.0346,1.7545,0.08772,-0.08772,1.7425,0.1975,8.001,9.93,ls+mcmc,293.570324,42.798532,12.921
6789503,K00003.01,,fp,0.169,1,1,1,1,11.12857,0.0025118,-0.0052672,280.74347,0.349,427.3856,,-0.35615,347.32,27.79,-27.79,1.217,0.1558,-0.0979,0.10164,2078.6,79.025,5514.5,233.9,-90.6,4.4399,0.0438,-0.0363,0.8526,0.04263,-0.04263,0.8304,0.1929,4.866,?,LS+MCMC,304.631843,46.899129,N/A
4026989,K01331.01,nan,False Positive,0.015,1,1,1,1,13.50962,,-0.0008947,494.20774,,8.5223,,-0.42611,203.8,16.3,,3.315,0.2037,-0.2258,0.0995,1128.8,27.864,6196.3,251.0,-189.9,4.5611,,-0.1202,0.8554,0.04277,-0.04277,0.8601,0.4016,9.771,3.0,ls+mcmc,301.237327,43.30107,15.784
6762398,K00172.01,Kepler-172 b,CONFIRMED,0.964,0,0,0,0,27.15881,0.0026702,-0.0088372,266.07906,0.239,4.5531,0.22766,-0.22766,1377.62,110.21,-110.21,2.751,,-0.2302,0.15376,2126.6,4.043,4568.1,276.4,-191.6,4.83,0.1353,-0.0393,1.1805,0.05903,-0.05903,1.1408,-0.1275,,15.25,LS+MCMC,300.595279,51.710184,14.174
1613007,K01737.01,Unknown,False Positive,0.273,1,1,1,1,2.55658,0.0018076,-0.0015076,392.61025,0.459,3.0836,0.15418,-0.15418,444.4,35.55,-35.55,8.452,0.8564,-1.3755,0.037,2163.6,343.084,5607.1,128.1,-98.4,4.1043,0.0482,-0.1098,0.9434,0.04717,-0.04717,0.9133,0.0501,5.23,5.84,ls,287.715186,44.464535,--
4856427,K00798.01,Unknown,False Positive,0.181,1,0,1,0,,0.0091503,-0.0114948,,0.944,15.0,0.75,-0.75,1535.27,122.82,-122.82,4.71,0.5979,,0.17303,1994.1,0.228,5935.5,,-221.1,4.6435,0.019,-0.0133,0.7941,0.03971,-0.03971,0.7357,0.3992,,18.29,ls+mcmc,297.430011,36.967678,12.663
1193730,K00963.01,Kepler-963 b,CONFIRMED,0.823,0,0,0,0,4.81061,0.0025634,-0.0043408,432.58129,0.466,11.9909,0.59955,-0.59955,13410.67,1072.85,-1072.85,1.98,0.3622,-0.383,,,168.476,6099.5,279.0,-196.5,3.9879,0.0293,,0.9161,0.0458,-0.0458,0.9455,0.0029,10.495,22.8,LS+MCMC,297.146086,42.151773,10.112
5872811,K00260.01,Kepler-260 b,CONFIRMED,,0,0,0,0,12.79895,0.0014557,-0.0020818,489.57631,0.032,3.5009,0.17505,-0.17505,1054.74,84.38,-84.38,3.051,0.6011,-0.2688,0.09632,2253.1,26.622,6040.8,138.8,-147.7,4.6367,0.0887,-0.0118,1.0418,0.05209,,1.0973,0.0728,0.698,55.06,ls,304.104621,46.589897,11.256
6830687,K01614.01,Kepler-1614 b,CONFIRM,0.928,0,0,0,0,3.09638,0.0003515,-0.0018227,217.56664,0.826,15.0,0.75,-0.75,4420.51,353.64,-353.64,8.132,1.335,-1.2122,0.03851,1103.8,430.244,5443.6,50.6,-244.2,4.3183,0.1202,-0.0663,1.3175,0.06588,-0.06588,1.3472,-0.0893,6.621,94.6,ls,293.213388,51.275975,10.776
4485931,K00420.01,Unknown,FALSE POSITIVE,0.148,0,1,1,1,9.87562,0.00521,-0.0057156,313.50133,0.533,5.9389,0.29695,-0.29695,1642.26,131.38,-131.38,4.634,0.5883,-0.6916,0.09145,572.2,6.716,6370.2,192.7,-187.2,4.4064,0.1316,-0.1079,1.2856,0.06428,-0.06428,,0.2076,11.258,7.62,ls,297.191442,40.208044,13.152
6144213,K00087.01,Unknown,FALSE POSITIVE,0.225,0,0,1,0,31.75612,0.0209172,-0.0275336,118.29065,0.522,9.2015,0.46008,-0.46008,464.22,37.14,-37.14,0.975,0.094,-0.0996,0.21678,271.4,14.912,5968.0,228.6,-113.0,4.2982,0.1116,-0.0182,1.1122,0.05561,-0.05561,1.1953,0.0056,4.457,6.97,LS+MCMC,,51.18884,12.818
4254550,K01727.01,nan,FALSE POSITIVE,0.365,1,0,0,0,9.68368,0.0066448,,416.88636,0.564,15.0,0.75,-0.75,1879.59,150.37,-150.37,3.284,0.4897,-0.5154,0.0776,1167.6,,4767.9,214.0,-250.1,4.1032,,-0.0551,1.2774,0.06387,-0.06387,1.286,0.077,10.672,N/A,MCMC,295.926182,47.228237,
8314217,K00383.01,Unknown,fp,0.363,0,0,1,1,93.11017,0.0878859,-0.0665285,171.08178,0.786,8.7227,0.43613,-0.43613,986.71,78.94,-78.94,5.702,0.9842,-0.3705,0.37632,730.2,11.735,4925.1,283.6,-79.0,4.5009,0.0191,-0.0846,0.6312,0.03156,-0.03156,,-0.1501,5.933,28.29,ls+mcmc,300.202094,42.844544,14.423
5655829,K00886.01,Kepler-886 b,Yes,0.873,0,0,0,0,14.29025,0.0084642,-0.0030187,108.71558,0.773,10.6713,0.53356,-0.53356,772.21,,-61.78,8.745,,-1.1308,0.1159,1908.7,,3738.1,153.6,-172.7,3.8611,0.1033,-0.123,,0.09709,-0.09709,1.786,-0.1237,,9.98,LS+MCMC,282.566794,46.350325,12.183
1180250,K01899.01,Unknown,false positive,0.385,0,0,1,1,4.92562,0.0017648,-0.0018887,286.09573,0.382,5.4188,0.27094,-0.27094,242.86,19.43,,8.756,0.997,-1.2919,0.05202,2378.4,21.652,5499.8,259.4,-201.7,4.0759,0.132,-0.0453,1.0949,0.05474,-0.05474,,0.4055,3.502,31.62,--,303.572044,40.29101,11.009
8714345,K00169.01,Kepler-169 b,Confirmed,0.74,0,0,0,0,9.94545,0.0007167,-0.0041709,217.41118,0.146,,0.61337,-0.61337,255.46,,-20.44,4.089,0.5793,-0.4631,0.07807,,35.157,5753.9,157.5,-298.7,4.3071,0.0428,-0.1487,0.7515,,-0.03758,0.8058,,7.497,22.99,LS,298.315342,37.074376,13.811
9002672,K00946.01,Kepler-946 b,CONFIRMED,0.961,0,0,0,0,28.88809,0.0054469,-0.0144564,461.7855,0.119,117.8496,0.09821,-0.09821,296.41,23.71,-23.71,0.348,0.0239,-0.0565,0.19231,2157.7,8.975,5225.6,256.8,-60.5,4.6686,0.0308,-0.1339,0.8961,0.04481,-0.04481,0.9814,-0.0828,,32.42,ls+mcmc,299.818297,50.908242,14.939
9664152,K01907.01,nan,candidate,0.726,0,0,0,0,10.53113,0.0055699,-0.0017808,437.82255,0.36,7.9551,0.39776,-0.39776,3057.14,244.57,-244.57,19.904,0.2181,-0.1713,0.09388,1136.1,2.062,4704.5,172.7,-94.1,4.3039,0.1122,-0.1262,0.8676,0.04338,-0.04338,0.9063,-0.1225,6.166,38.11,--,291.032384,49.412246,--
4828303,K01815.01,Kepler-1815 b,CONFIRMED,0.847,0,0,0,0,2.97386,0.0013527,-0.0001584,127.07007,0.335,4.0738,0.20369,-0.20369,5984.29,478.74,-478.74,6.958,1.3903,-0.9981,0.04552,1936.2,2.296,5520.8,288.5,-170.0,4.5797,0.0122,-0.095,1.2941,0.06471,-0.06471,1.2084,18.6977,1.949,185.92,LS+MCMC,294.010527,51.321731,
2232561,K01163.01,Kepler-1163 b,CONFIRMED,0.734,0,0,0,0,9.73913,,-0.0042527,273.3278,0.99,1.811,0.09055,-0.09055,900.01,72.0,-72.0,2.423,0.165,-0.2988,0.09267,401.8,14.604,5236.4,66.6,-217.5,4.915,0.1335,,1.2877,0.06439,-0.06439,1.3215,13.5067,7.64,33.75,ls,290.186365,48.44359,15.429
6246097,K01776.01,Kepler-1776 b,Yes,0.91,0,0,0,0,38.35363,0.0287478,,468.32263,,3.3468,0.16734,-0.16734,752.37,60.19,-60.19,12.869,2.0482,-2.3342,0.22365,1489.2,1.25,5876.6,217.0,-90.4,5.0,0.071,-0.0487,0.8583,0.04291,,0.828,-0.2984,,116.34,--,301.689036,41.507324,10.846
9129931,K01974.01,Unknown,FALSE_POSITIVE,,0,0,0,1,5.60228,,-0.0047087,134.08563,0.23,unknown,0.75,-0.75,1068.18,85.45,-85.45,,,-0.3736,0.05563,1990.8,195.004,5247.8,238.5,-60.5,4.3052,0.0612,-0.107,1.2993,0.06497,-0.06497,1.2335,-0.0592,1.054,,LS+MCMC,284.987229,38.147144,15.144
4001658,K00753.01,nan,FALSE POSITIVE,0.235,0,0,1,1,15.77779,0.0101892,-0.0062861,344.54121,0.684,7.3967,0.36983,-0.36983,864.37,69.15,,2.972,0.4527,-0.2535,0.11185,1433.5,17.523,5111.0,150.0,-196.3,4.1352,0.1022,-0.1275,0.8581,0.0429,-0.0429,,-0.0177,4.369,6.33,LS+MCMC,290.320103,48.42966,14.064
4714615,K00017.01,Kepler-17 b,CONFIRMED,0.772,0,0,0,0,2.99618,0.0007152,-0.0010523,333.80241,0.757,,0.69007,-0.69007,2504.88,200.39,-200.39,1.684,0.1504,-0.1,0.03525,2086.9,,5402.1,61.9,,4.8502,0.1478,-0.12,1.1083,0.05541,-0.05541,1.0623,0.1389,,--,LS+MCMC,280.316374,47.197389,11.499
5212523,K01408.01,nan,Maybe,0.304,0,0,0,0,21.34563,0.0149702,-0.0112121,385.57708,0.671,,0.30581,-0.30581,117.97,9.44,-9.44,5.83,,-0.3262,0.17315,491.0,42.013,4358.6,84.0,-120.0,4.401,0.0996,-0.0914,0.7551,0.03775,-0.03775,0.7498,0.145,10.439,31.61,LS,301.369069,41.114905,10.477
4050508,K00584.01,Kepler-584 b,CONFIRMED,0.7,0,0,0,0,NaN,0.0072754,-0.0140275,249.68512,0.096,na,0.27802,-0.27802,164.31,13.14,-13.14,2.448,0.147,-0.243,0.14693,999.4,37.327,4303.2,263.4,-125.7,3.7792,0.1325,-0.0826,1.1962,0.05981,-0.05981,1.2788,0.2399,7.972,11.04,mcmc,289.18143,48.254072,10.601
2970232,K01733.01,,FALSE POSITIVE,0.25,1,1,1,0,33.6583,0.0090822,-0.0131174,117.92652,0.326,5.0462,0.25231,-0.25231,734.68,58.77,-58.77,,0.3007,-0.3922,,2070.9,323.569,6292.8,199.6,-221.6,4.5469,0.0105,-0.1143,0.8243,0.04121,-0.04121,0.7797,-0.3237,11.982,6.05,N/A,283.350392,43.490573,15.843
5724139,K01569.01,,FP,0.15,1,1,0,1,2.20034,0.0018652,-0.0011632,394.29618,0.419,15.0,0.75,-0.75,394.63,31.57,-31.57,2.565,0.2864,,,750.8,,,100.9,-230.2,4.8896,0.012,-0.0601,0.6788,0.03394,-0.03394,0.7522,-0.0942,7.221,10.35,mcmc,282.158342,38.633099,?
2469624,K01488.01,,FALSE POSITIVE,0.234,0,0,1,0,109.69679,0.0828614,-0.0895105,287.23265,0.324,1.8549,0.09274,-0.09274,872.66,69.81,-69.81,1.969,0.1018,-0.222,0.46148,1406.2,3.388,6322.5,91.0,-133.4,3.8976,0.0371,-0.0536,1.3553,0.06776,-0.06776,1.322,-0.3002,2.432, ,ls,284.780733,44.866623,11.971
2417899,K00722.01,Kepler-722 b,CONFIRM,0.877,0,0,0,0,7.88107,0.0046197,-0.0007479,213.85196,0.842,7.6862,0.38431,-0.38431,5193.97,415.52,-415.52,5.205,,-0.6783,0.07094,727.9,2.326,5740.1,81.2,-223.9,4.2554,0.1457,-0.1482,1.3696,0.06848,-0.06848,1.3732,0.2439,3.244,26.62,ls,296.631866,50.24789, 
7651053,K00133.01,Kepler-133 b,confirmed,0.802,0,0,0,0,54.72046,0.0363745,-0.0499709,252.61108,0.5,1.0278,0.05139,-0.05139,296.82,23.75,-23.75,3.001,0.1544,-0.5244,0.24412,291.8,21.64,5773.8,157.5,-152.8,4.8039,0.124,-0.1355,1.4055,0.07028,-0.07028,1.2579,0.098,5.543,8.75,--,297.53573,38.734412,10.892
2946430,K01754.01,Kepler-1754 b,Confirmed,0.981,0,0,0,0,-48.92709,0.0109083,-0.0084939,377.71085,0.5,3.698,0.1849,-0.1849,1004.57,80.37,-80.37,5.769,0.3765,-0.954,0.25402,1105.6,26.794,na,,-244.5,4.3983,0.1441,-0.0399,1.5049,,-0.07524,1.3648,-0.1994,4.35,88.03,LS+MCMC,288.946417,38.890571,13.911
1249980,K00397.01,nan,CANDIDATE,0.401,0,0,0,0,6.71699,0.0053179,-0.0062019,263.73719,,10.1059,0.5053,-0.5053,396.82,31.75,-31.75,3.211,0.6234,-0.6156,0.06699,2167.9,0.678,5317.9,120.0,-241.6,4.6146,0.1156,-0.061,1.0668,0.05334,-0.05334,0.9717,-0.1981,,4.29,ls+mcmc,290.229852,,15.721
8737468,K01531.01,Kepler-1531 b,CONFIRMED,0.91,0,0,0,0,1.76416,0.0016795,-0.000564,305.77857,,15.0,0.75,-0.75,2846.12,227.69,,10.684,1.5191,-1.1022,0.02995,,1.66,5469.7,143.4,-242.3,4.3736,0.0885,-0.1048,0.6752,0.03376,-0.03376,0.6328,0.0911,1.409,13.69,ls+mcmc,285.086704,39.645927,13.85
8741825,K00434.01,Kepler-434 b,CONFIRMED,,0,0,0,0,20.59287,0.0095433,-0.003128,173.10956,0.941,522.7551,0.43563,-0.43563,457.54,36.6,-36.6,1.932,0.1128,-0.1811,0.12824,586.0,650.234,5606.2,190.5,-150.6,4.0506,0.0703,-0.0798,1.2911,0.06455,-0.06455,1.1362,0.1613,5.422,68.66,ls+mcmc,280.036652,108.634533,11.875
1581113,K01625.01,Kepler-1625 b,CONFIRMED,2.356,0,0,0,0,1.31153,0.0010986,-0.0001812,239.7898,0.552,12.3065,0.61533,-0.61533,273.31,21.86,-21.86,3.904,0.6324,-0.2605,0.02514,NaN,9.836,6172.4,168.4,-77.3,4.3986,0.0469,-0.1276,1.0745,0.05372,-0.05372,1.157,-0.0016,6.276,55.39,LS+MCMC,286.633972,39.510674,11.723
4572192,K00116.01,Unknown,CANDIDATE,0.382,0,0,0,0,21.08116,0.0032341,-0.007294,194.36035,0.827,5.2831,0.26416,-0.26416,2298.08,,-183.85,1.13,0.2082,-0.176,0.15586,1703.5,,4978.7,237.5,-276.9,4.4232,0.0983,,0.5805,0.02902,-0.02902,0.6466,0.1987,5.648,7.3,LS,288.719368,37.793496,12.299
4091413,K01009.01,Kepler-1009 b,Confirmed,0.898,0,0,0,0,6.9807,0.0065071,-0.0038184,393.17305,0.71,15.0,0.75,-0.75,4118.33,329.47,-329.47,2.112,,,0.07951,253.4,6.894,5127.8,283.6,-131.8,4.6814,0.0713,,0.939,0.04695,-0.04695,0.8531,-0.1517,2.636,69.63,ls+mcmc,294.759767,51.48126,15.504
4071219,K00437.01,Kepler-437 b,CONFIRMED,0.847,0,0,0,0,45.19922,0.0330326,-0.0068348,142.25714,0.342,14.4135,0.72068,-0.72068,752.76,60.22,-60.22,3.055,0.3099,-0.5849,0.27781,1340.2,39.295,5162.8,295.0,-264.3,4.6534,0.0849,-0.0177,0.9305,,-0.04653,0.8458,0.0068,7.068,23.14,MCMC,287.626699,46.867456,13.149
2069392,K00977.01,nan,fp,0.074,1,0,1,0,2.21821,,-0.0006249,360.38743,0.217,2.4153,0.12077,-0.12077,188.14,15.05,-15.05,2.83,0.2646,-0.2526,0.03545,358.7,4.751,4538.9,169.2,-259.1,4.9123,0.1482,-0.1402,0.8942,0.04471,-0.04471,0.8311,0.1015,0.929,6.73,ls+mcmc,291.872335,38.100999,13.318
2575561,K00386.01,Unknown,candidate,0.495,0,0,0,0,5.49352,0.0018048,-0.0014718,318.07633,0.209,13.592,,-0.6796,336.08,26.89,-26.89,4.023,0.3465,-0.3105,0.05257,unknown,17.578,4794.2,198.9,-212.8,4.6302,0.1258,-0.0631,0.6688,0.03344,-0.03344,0.6951,-0.0387,5.033,37.75,LS+MCMC,298.602426,42.992613,15.864
8404925,K00539.01,,FP,0.0,1,1,1,1,4.05581,0.001343,-0.001915,347.26092,0.186,11.2345,0.56173,,771.77,61.74,-61.74,6.454,1.253,-0.8645,0.04919,2336.3,18.088,4671.6,179.9,-66.1,4.0493,0.0159,-0.1344,1.1632,0.05816,-0.05816,1.2125,0.0368,1.904,3.0,--,304.77229,42.579839,15.148
